instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp,total timeelapsed in nanoseconds,total timeelapsed in seconds 
0,0,100.0,0.0,0.0,1143467626,103906759500,103
0,0,100.0,0.0,0.0,1143489078,103906759500,103
0,0,100.0,0.0,0.0,1143528058,103906759500,103
0,0,100.0,0.0,0.0,1143528343,103906759500,103
0,0,100.0,0.0,0.0,1143528575,103906759500,103
0,0,100.0,0.0,0.0,1143562674,103906759500,103
0,0,100.0,0.0,0.0,1143564801,103906759500,103
0,0,100.0,0.0,0.0,1143564900,103906759500,103
0,0,100.0,0.0,0.0,1143640684,103906759500,103
0,0,100.0,0.0,0.0,1143640801,103906759500,103
0,0,100.0,0.0,0.0,1143643192,103906759500,103
1,0,100.0,0.0,0.0,1143680122,103906759500,103
0,0,100.0,0.0,0.0,1143712857,103906759500,103
0,0,100.0,0.0,0.0,1143725279,103906759500,103
0,0,100.0,0.0,0.0,1143725524,103906759500,103
0,0,100.0,0.0,0.0,1143731311,103906759500,103
0,0,100.0,0.0,0.0,1143731413,103906759500,103
0,0,100.0,0.0,0.0,1143740479,103906759500,103
0,0,100.0,0.0,0.0,1143740526,103906759500,103
0,0,100.0,0.0,0.0,1144108833,103906759500,103
0,0,100.0,0.0,0.0,1144108911,103906759500,103
1,0,100.0,0.0,0.0,1144108994,103906759500,103
0,0,100.0,0.0,0.0,1144109030,103906759500,103
0,0,100.0,0.0,0.0,1144171182,103906759500,103
0,0,100.0,0.0,0.0,1144190049,103906759500,103
1,0,100.0,0.0,0.0,1144332585,103906759500,103
0,0,100.0,0.0,0.0,1144332834,103906759500,103
0,0,100.0,0.0,0.0,1144333754,103906759500,103
0,0,100.0,0.0,0.0,1144367076,103906759500,103
1,0,100.0,0.0,0.0,1144367225,103906759500,103
0,0,100.0,0.0,0.0,1144455156,103906759500,103
1,0,100.0,0.0,0.0,1144600689,103906759500,103
0,0,100.0,0.0,0.0,1144632979,103906759500,103
0,0,100.0,0.0,0.0,1144634478,103906759500,103
0,0,100.0,0.0,0.0,1144769764,103906759500,103
1,0,100.0,0.0,0.0,1144839281,103906759500,103
1,1,100.0,14.720028279984273,38.366689041386245,1144847899,103906759500,103
1,0,100.0,12.814653863174758,35.79756117834671,1144848722,103906759500,103
0,0,100.0,12.814653863174758,35.79756117834671,1144848857,103906759500,103
0,0,100.0,12.814653863174758,35.79756117834671,1144857702,103906759500,103
0,0,100.0,12.814653863174758,35.79756117834671,1144927106,103906759500,103
0,0,100.0,12.814653863174758,35.79756117834671,1144936447,103906759500,103
0,0,100.0,12.814653863174758,35.79756117834671,1144936610,103906759500,103
0,0,100.0,12.814653863174758,35.79756117834671,1144965095,103906759500,103
1,0,100.0,11.332895536767333,33.66436623013618,1145050228,103906759500,103
0,0,100.0,11.332895536767333,33.66436623013618,1145326045,103906759500,103
0,0,100.0,11.332895536767333,33.66436623013618,1145373393,103906759500,103
1,0,100.0,10.147668442808657,31.855405260031862,1145458270,103906759500,103
0,0,100.0,10.147668442808657,31.855405260031862,1145459933,103906759500,103
0,0,100.0,10.147668442808657,31.855405260031862,1145537185,103906759500,103
0,0,100.0,10.147668442808657,31.855405260031862,1145570493,103906759500,103
1,1,100.0,9.17810039567394,30.295379838638663,1145617445,103906759500,103
1,0,100.0,8.370276601932126,28.93143031709999,1145630366,103906759500,103
1,0,100.0,7.686871432581175,27.72520772254227,1145751536,103906759500,103
0,0,100.0,7.686871432581175,27.72520772254227,1145827982,103906759500,103
0,0,100.0,7.686871432581175,27.72520772254227,1145828038,103906759500,103
1,0,100.0,7.101223721468429,26.648121362430842,1145828252,103906759500,103
0,0,100.0,7.101223721468429,26.648121362430842,1145839052,103906759500,103
0,0,100.0,7.101223721468429,26.648121362430842,1145892760,103906759500,103
0,0,100.0,7.101223721468429,26.648121362430842,1146031853,103906759500,103
0,1,97.34377834140764,7.101223721468429,26.291822833256894,1146144658,103906759500,103
0,1,97.41318396542611,7.101223721468429,26.301194131808007,1146144819,103906759500,103
0,0,97.47970314029175,7.101223721468429,26.31017256312737,1146229674,103906759500,103
0,0,97.54350910413132,7.101223721468429,26.318781900489412,1146230363,103906759500,103
1,0,97.54350910413132,6.593781944342977,25.361006074654764,1146230528,103906759500,103
0,0,97.60476150874217,6.593781944342977,25.36896754143232,1146270192,103906759500,103
0,0,97.66360772596634,6.593781944342977,25.376613904200696,1146637287,103906759500,103
0,0,97.72018400617347,6.593781944342977,25.383963144036038,1146643622,103906759500,103
1,0,97.72018400617347,6.149882455763571,24.514641445339436,1146647473,103906759500,103
1,0,97.72018400617347,5.758311877686237,23.721367925405005,1146718149,103906759500,103
0,0,97.77461650802324,5.758311877686237,23.72797369297191,1146753563,103906759500,103
0,0,97.82702221589014,5.758311877686237,23.734331757697237,1146837029,103906759500,103
0,0,97.8775097589924,5.758311877686237,23.740455492756592,1147183321,103906759500,103
0,0,97.92618014429713,5.758311877686237,23.74635732615317,1147183523,103906759500,103
0,0,97.97312741360733,5.758311877686237,23.75204882278247,1147763686,103906759500,103
0,0,98.0184392338266,5.758311877686237,23.757540758092166,1147847621,103906759500,103
0,0,98.06219742819728,5.758311877686237,23.76284318432458,1147870301,103906759500,103
1,0,98.06219742819728,5.410348691856167,23.033685800934865,1147870539,103906759500,103
1,0,98.06219742819728,5.099107487233882,22.36134354462468,1147976947,103906759500,103
0,0,98.1044784552856,5.099107487233882,22.36616374397992,1147999444,103906759500,103
0,0,98.14535384161343,5.099107487233882,22.37082270751323,1148000188,103906759500,103
0,0,98.18489057308688,5.099107487233882,22.375328168642948,1148000235,103906759500,103
0,0,98.22315144972849,5.099107487233882,22.379687374425455,1148024015,103906759500,103
0,0,98.26019540766485,5.099107487233882,22.38390712320546,1148083448,103906759500,103
1,0,98.26019540766485,4.819079933193672,21.760600541362976,1148083495,103906759500,103
1,0,98.26019540766485,4.565806903236897,21.18105470711321,1148341044,103906759500,103
0,0,98.29607781184252,4.565806903236897,21.184921775508677,1148447060,103906759500,103
0,0,98.33085072253066,4.565806903236897,21.188668599751313,1148530045,103906759500,103
0,0,98.36456313830851,4.565806903236897,21.192300521905842,1148661504,103906759500,103
0,0,98.39726121792367,4.565806903236897,21.195822572582554,1148661548,103906759500,103
1,0,98.39726121792367,4.335640019510859,20.65466299765488,1148903494,103906759500,103
0,0,98.42898848313378,4.335640019510859,20.657992679528384,1148911753,103906759500,103
0,1,96.49942346458738,4.335640019510859,20.454504692922544,1148918534,103906759500,103
0,1,94.62567964953794,4.335640019510859,20.2549471379698,1148919421,103906759500,103
0,0,94.72906008674336,4.335640019510859,20.266008583900614,1148983121,103906759500,103
0,0,94.82952401262416,4.335640019510859,20.276752189152464,1149433299,103906759500,103
0,0,94.92718826504995,4.335640019510859,20.287190943587834,1149433519,103906759500,103
0,0,95.02216353459885,4.335640019510859,20.297337139662243,1149743197,103906759500,103
0,0,95.11455476372053,4.335640019510859,20.30720241863817,1149778207,103906759500,103
0,0,95.2044615151942,4.335640019510859,20.31679781317069,1149778812,103906759500,103
1,0,95.2044615151942,4.12556540310548,19.81848209748598,1149780956,103906759500,103
0,0,95.2919783126022,4.12556540310548,19.827589084907657,1149894412,103906759500,103
